,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
69,Ireland,Pakistan,Ireland,3 wickets,Kingston,"Mar 17, 2007",ODI # 2539
70,Australia,Netherlands,Australia,229 runs,Basseterre,"Mar 18, 2007",ODI # 2540
71,Canada,England,England,51 runs,Gros Islet,"Mar 18, 2007",ODI # 2541
72,Bermuda,India,India,257 runs,Port of Spain,"Mar 19, 2007",ODI # 2542
73,West Indies,Zimbabwe,West Indies,6 wickets,Kingston,"Mar 19, 2007",ODI # 2543
74,Kenya,New Zealand,New Zealand,148 runs,Gros Islet,"Mar 20, 2007",ODI # 2544
75,Scotland,South Africa,South Africa,7 wickets,Basseterre,"Mar 20, 2007",ODI # 2545
76,Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,"Mar 21, 2007",ODI # 2546
77,Pakistan,Zimbabwe,Pakistan,93 runs,Kingston,"Mar 21, 2007",ODI # 2547
78,Canada,New Zealand,New Zealand,114 runs,Gros Islet,"Mar 22, 2007",ODI # 2548
79,Netherlands,Scotland,Netherlands,8 wickets,Basseterre,"Mar 22, 2007",ODI # 2549
80,India,Sri Lanka,Sri Lanka,69 runs,Port of Spain,"Mar 23, 2007",ODI # 2550
81,West Indies,Ireland,West Indies,8 wickets,Kingston,"Mar 23, 2007",ODI # 2551
82,Australia,South Africa,Australia,83 runs,Basseterre,"Mar 24, 2007",ODI # 2552
83,England,Kenya,England,7 wickets,Gros Islet,"Mar 24, 2007",ODI # 2553
84,Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,"Mar 25, 2007",ODI # 2554
85,West Indies,Australia,Australia,103 runs,North Sound,"Mar 27-28, 2007",ODI # 2555
86,South Africa,Sri Lanka,South Africa,1 wicket,Providence,"Mar 28, 2007",ODI # 2556
87,West Indies,New Zealand,New Zealand,7 wickets,North Sound,"Mar 29, 2007",ODI # 2557
88,England,Ireland,England,48 runs,Providence,"Mar 30, 2007",ODI # 2558
89,Australia,Bangladesh,Australia,10 wickets,North Sound,"Mar 31, 2007",ODI # 2559
90,West Indies,Sri Lanka,Sri Lanka,113 runs,Providence,"Apr 1, 2007",ODI # 2560
91,Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,"Apr 2, 2007",ODI # 2561
92,Ireland,South Africa,South Africa,7 wickets,Providence,"Apr 3, 2007",ODI # 2562
93,England,Sri Lanka,Sri Lanka,2 runs,North Sound,"Apr 4, 2007",ODI # 2563
94,Bangladesh,South Africa,Bangladesh,67 runs,Providence,"Apr 7, 2007",ODI # 2564
95,Australia,England,Australia,7 wickets,North Sound,"Apr 8, 2007",ODI # 2565
96,Ireland,New Zealand,New Zealand,129 runs,Providence,"Apr 9, 2007",ODI # 2566
97,West Indies,South Africa,South Africa,67 runs,St George's,"Apr 10, 2007",ODI # 2567
98,Bangladesh,England,England,4 wickets,Bridgetown,"Apr 11, 2007",ODI # 2568
99,New Zealand,Sri Lanka,Sri Lanka,6 wickets,St George's,"Apr 12, 2007",ODI # 2569
100,Australia,Ireland,Australia,9 wickets,Bridgetown,"Apr 13, 2007",ODI # 2570
101,New Zealand,South Africa,New Zealand,5 wickets,St George's,"Apr 14, 2007",ODI # 2571
102,Bangladesh,Ireland,Ireland,74 runs,Bridgetown,"Apr 15, 2007",ODI # 2572
103,Australia,Sri Lanka,Australia,7 wickets,St George's,"Apr 16, 2007",ODI # 2573
104,England,South Africa,South Africa,9 wickets,Bridgetown,"Apr 17, 2007",ODI # 2574
105,Ireland,Sri Lanka,Sri Lanka,8 wickets,St George's,"Apr 18, 2007",ODI # 2575
106,West Indies,Bangladesh,West Indies,99 runs,Bridgetown,"Apr 19, 2007",ODI # 2576
107,Australia,New Zealand,Australia,215 runs,St George's,"Apr 20, 2007",ODI # 2577
108,West Indies,England,England,1 wicket,Bridgetown,"Apr 21, 2007",ODI # 2578
109,New Zealand,Sri Lanka,Sri Lanka,81 runs,Kingston,"Apr 24, 2007",ODI # 2579
110,Australia,South Africa,Australia,7 wickets,Gros Islet,"Apr 25, 2007",ODI # 2580
111,Australia,Sri Lanka,Australia,53 runs,Bridgetown,"Apr 28, 2007",ODI # 2581
112,Bangladesh,India,India,5 wickets,Dhaka,"May 10, 2007",ODI # 2582
113,Bangladesh,India,India,46 runs,Dhaka,"May 12, 2007",ODI # 2583
114,Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,"May 18, 2007",ODI # 2584
115,Pakistan,Sri Lanka,Pakistan,98 runs,Abu Dhabi,"May 20, 2007",ODI # 2585
116,Pakistan,Sri Lanka,Sri Lanka,115 runs,Abu Dhabi,"May 22, 2007",ODI # 2586
117,Africa XI,Asia XI,Asia XI,34 runs,Bengaluru,"Jun 6, 2007",ODI # 2587
118,Africa XI,Asia XI,Asia XI,31 runs,Chennai,"Jun 9, 2007",ODI # 2588
119,Africa XI,Asia XI,Asia XI,13 runs,Chennai,"Jun 10, 2007",ODI # 2589
120,Ireland,India,India,9 wickets,Belfast,"Jun 23, 2007",ODI # 2590
121,Ireland,South Africa,South Africa,42 runs,Belfast,"Jun 24, 2007",ODI # 2591
122,India,South Africa,South Africa,4 wickets,Belfast,"Jun 26, 2007",ODI # 2592
123,India,South Africa,India,6 wickets,Belfast,"Jun 29, 2007",ODI # 2593
124,England,West Indies,England,79 runs,Lord's,"Jul 1, 2007",ODI # 2594
125,India,South Africa,India,6 wickets,Belfast,"Jul 1, 2007",ODI # 2595
126,Canada,Netherlands,Netherlands,117 runs,Toronto,"Jul 3, 2007",ODI # 2596
127,England,West Indies,West Indies,61 runs,Birmingham,"Jul 4, 2007",ODI # 2597
128,England,West Indies,West Indies,93 runs,Nottingham,"Jul 7, 2007",ODI # 2598
129,Netherlands,West Indies,West Indies,10 wickets,Dublin,"Jul 10, 2007",ODI # 2599
130,Ireland,Netherlands,Ireland,1 run,Belfast,"Jul 11, 2007",ODI # 2600
131,Scotland,West Indies,West Indies,4 wickets,Dublin,"Jul 12, 2007",ODI # 2601
132,Netherlands,Scotland,no result,,Belfast,"Jul 13, 2007",ODI # 2602
133,Ireland,West Indies,no result,,Dublin,"Jul 14, 2007",ODI # 2603
134,Ireland,Scotland,Ireland,23 runs,Belfast,"Jul 15, 2007",ODI # 2604
135,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (PSS),"Jul 20, 2007",ODI # 2605
136,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (RPS),"Jul 23, 2007",ODI # 2606
137,Sri Lanka,Bangladesh,Sri Lanka,39 runs,Colombo (RPS),"Jul 25, 2007",ODI # 2607
138,Scotland,India,India,7 wickets,Glasgow,"Aug 16, 2007",ODI # 2608
139,Netherlands,Bermuda,Netherlands,172 runs,Rotterdam,"Aug 18, 2007",ODI # 2609
140,Netherlands,Bermuda,Netherlands,8 wickets,Rotterdam,"Aug 20, 2007",ODI # 2610
141,England,India,England,104 runs,Southampton,"Aug 21, 2007",ODI # 2611
142,Zimbabwe,South Africa,South Africa,5 wickets,Bulawayo,"Aug 22, 2007",ODI # 2612
143,England,India,India,9 runs,Bristol,"Aug 24, 2007",ODI # 2613
144,Zimbabwe,South Africa,South Africa,8 wickets,Harare,"Aug 25, 2007",ODI # 2614
145,Zimbabwe,South Africa,South Africa,28 runs,Harare,"Aug 26, 2007",ODI # 2615
146,England,India,England,42 runs,Birmingham,"Aug 27, 2007",ODI # 2616
147,England,India,England,3 wickets,Manchester,"Aug 30, 2007",ODI # 2617
148,England,India,India,38 runs,Leeds,"Sep 2, 2007",ODI # 2618
149,England,India,India,2 wickets,The Oval,"Sep 5, 2007",ODI # 2619
150,England,India,England,7 wickets,Lord's,"Sep 8, 2007",ODI # 2620
151,India,Australia,no result,,Bengaluru,"Sep 29, 2007",ODI # 2621
152,Sri Lanka,England,Sri Lanka,119 runs,Dambulla,"Oct 1, 2007",ODI # 2622
153,India,Australia,Australia,84 runs,Kochi,"Oct 2, 2007",ODI # 2623
154,Sri Lanka,England,England,65 runs,Dambulla,"Oct 4, 2007",ODI # 2624
155,India,Australia,Australia,47 runs,Hyderabad (Deccan),"Oct 5, 2007",ODI # 2625
156,Sri Lanka,England,England,2 wickets,Dambulla,"Oct 7, 2007",ODI # 2626
157,India,Australia,India,8 runs,Chandigarh,"Oct 8, 2007",ODI # 2627
158,Sri Lanka,England,England,5 wickets,Colombo (RPS),"Oct 10, 2007",ODI # 2628
159,India,Australia,Australia,9 wickets,Vadodara,"Oct 11, 2007",ODI # 2629
160,Sri Lanka,England,Sri Lanka,107 runs,Colombo (RPS),"Oct 13, 2007",ODI # 2630
161,India,Australia,Australia,18 runs,Nagpur,"Oct 14, 2007",ODI # 2631
162,India,Australia,India,2 wickets,Mumbai,"Oct 17, 2007",ODI # 2632
163,Pakistan,South Africa,South Africa,45 runs,Lahore,"Oct 18, 2007",ODI # 2633
164,Kenya,Canada,Kenya,4 wickets,Nairobi (Gym),"Oct 18, 2007",ODI # 2634
165,Pakistan,South Africa,Pakistan,25 runs,Lahore,"Oct 20, 2007",ODI # 2635
166,Kenya,Canada,Kenya,4 wickets,Nairobi (Gym),"Oct 20, 2007",ODI # 2636
167,Pakistan,South Africa,Pakistan,6 wickets,Faisalabad,"Oct 23, 2007",ODI # 2637
168,Kenya,Bermuda,Kenya,8 wickets,Nairobi (Gym),"Oct 25, 2007",ODI # 2638
169,Pakistan,South Africa,South Africa,7 wickets,Multan,"Oct 26, 2007",ODI # 2639
170,Kenya,Bermuda,Kenya,3 wickets,Nairobi (Gym),"Oct 27, 2007",ODI # 2640
171,Kenya,Bermuda,Kenya,1 wicket,Nairobi (Gym),"Oct 28, 2007",ODI # 2641
172,Pakistan,South Africa,South Africa,14 runs,Lahore,"Oct 29, 2007",ODI # 2642
173,India,Pakistan,India,5 wickets,Guwahati,"Nov 5, 2007",ODI # 2643
174,India,Pakistan,Pakistan,4 wickets,Mohali,"Nov 8, 2007",ODI # 2644
175,India,Pakistan,India,46 runs,Kanpur,"Nov 11, 2007",ODI # 2645
176,India,Pakistan,India,6 wickets,Gwalior,"Nov 15, 2007",ODI # 2646
177,India,Pakistan,Pakistan,31 runs,Jaipur,"Nov 18, 2007",ODI # 2647
178,South Africa,New Zealand,South Africa,2 wickets,Durban,"Nov 25, 2007",ODI # 2648
179,Zimbabwe,West Indies,Zimbabwe,30 runs,Harare,"Nov 30, 2007",ODI # 2649
180,South Africa,New Zealand,New Zealand,7 wickets,Port Elizabeth,"Nov 30, 2007",ODI # 2650
181,Zimbabwe,West Indies,West Indies,110 runs,Harare,"Dec 2, 2007",ODI # 2651
182,South Africa,New Zealand,South Africa,5 wickets,Cape Town,"Dec 2, 2007",ODI # 2652
183,Zimbabwe,West Indies,West Indies,6 wickets,Harare,"Dec 4, 2007",ODI # 2653
184,Zimbabwe,West Indies,West Indies,5 wickets,Bulawayo,"Dec 7, 2007",ODI # 2654
185,Australia,New Zealand,Australia,7 wickets,Adelaide,"Dec 14, 2007",ODI # 2655
186,Australia,New Zealand,no result,,Sydney,"Dec 16, 2007",ODI # 2656
187,Australia,New Zealand,Australia,114 runs,Hobart,"Dec 20, 2007",ODI # 2657
188,New Zealand,Bangladesh,New Zealand,6 wickets,Auckland,"Dec 26, 2007",ODI # 2658
189,New Zealand,Bangladesh,New Zealand,102 runs,Napier,"Dec 28, 2007",ODI # 2659
190,New Zealand,Bangladesh,New Zealand,10 wickets,Queenstown,"Dec 31, 2007",ODI # 2660
