Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
ODI # 1646,Sri Lanka,Zimbabwe,123 runs,Sharjah,"Oct 25, 2000",Sri Lanka
ODI # 1647,South Africa,New Zealand,115 runs,Centurion,"Oct 25, 2000",South Africa
ODI # 1648,India,Zimbabwe,3 wickets,Sharjah,"Oct 26, 2000",India
ODI # 1649,Pakistan,England,8 wickets,Lahore,"Oct 27, 2000",Pakistan
ODI # 1650,India,Sri Lanka,68 runs,Sharjah,"Oct 27, 2000",Sri Lanka
ODI # 1651,South Africa,New Zealand,5 wickets,Kimberley,"Oct 28, 2000",South Africa
ODI # 1652,India,Sri Lanka,245 runs,Sharjah,"Oct 29, 2000",Sri Lanka
ODI # 1653,Pakistan,England,6 wickets,Rawalpindi,"Oct 30, 2000",Pakistan
ODI # 1654,South Africa,New Zealand,6 wickets,Durban,"Nov 1, 2000",South Africa
ODI # 1655,South Africa,New Zealand,3 wickets,Cape Town,"Nov 4, 2000",South Africa
ODI # 1656,India,Zimbabwe,3 wickets,Cuttack,"Dec 2, 2000",India
ODI # 1657,India,Zimbabwe,61 runs,Ahmedabad,"Dec 5, 2000",India
ODI # 1658,India,Zimbabwe,1 wicket,Jodhpur,"Dec 8, 2000",Zimbabwe
ODI # 1659,India,Zimbabwe,9 wickets,Kanpur,"Dec 11, 2000",India
ODI # 1660,India,Zimbabwe,39 runs,Rajkot,"Dec 14, 2000",India
ODI # 1661,South Africa,Sri Lanka,4 wickets,Port Elizabeth,"Dec 15, 2000",South Africa
ODI # 1662,South Africa,Sri Lanka,95 runs,East London,"Dec 17, 2000",South Africa
ODI # 1663,New Zealand,Zimbabwe,70 runs,Taupo,"Jan 2, 2001",Zimbabwe
ODI # 1664,New Zealand,Zimbabwe,8 wickets,Wellington,"Jan 4, 2001",New Zealand
ODI # 1665,New Zealand,Zimbabwe,1 wicket,Auckland,"Jan 7, 2001",Zimbabwe
ODI # 1666,South Africa,Sri Lanka,8 wickets,Paarl,"Jan 9, 2001",South Africa
ODI # 1667,Australia,West Indies,74 runs,Melbourne,"Jan 11, 2001",Australia
ODI # 1668,South Africa,Sri Lanka,99 runs,Cape Town,"Jan 11, 2001",South Africa
ODI # 1669,West Indies,Zimbabwe,1 wicket,Brisbane,"Jan 13, 2001",West Indies
ODI # 1670,Australia,West Indies,9 wickets,Brisbane,"Jan 14, 2001",Australia
ODI # 1671,South Africa,Sri Lanka,5 wickets,Bloemfontein,"Jan 14, 2001",South Africa
ODI # 1672,Australia,West Indies,28 runs,Sydney,"Jan 17, 2001",Australia
ODI # 1673,South Africa,Sri Lanka,4 runs,Johannesburg,"Jan 17, 2001",Sri Lanka
ODI # 1674,Australia,Zimbabwe,8 wickets,Melbourne,"Jan 21, 2001",Australia
ODI # 1675,West Indies,Zimbabwe,47 runs,Sydney,"Jan 23, 2001",Zimbabwe
ODI # 1676,West Indies,Zimbabwe,77 runs,Adelaide,"Jan 25, 2001",West Indies
ODI # 1677,Australia,West Indies,10 wickets,Adelaide,"Jan 26, 2001",Australia
ODI # 1678,Australia,Zimbabwe,86 runs,Sydney,"Jan 28, 2001",Australia
ODI # 1679,Australia,Zimbabwe,6 wickets,Hobart,"Jan 30, 2001",Australia
ODI # 1680,New Zealand,Sri Lanka,61 runs,Napier,"Jan 31, 2001",Sri Lanka
ODI # 1681,West Indies,Zimbabwe,44 runs,Perth,"Feb 2, 2001",West Indies
ODI # 1682,New Zealand,Sri Lanka,3 wickets,Wellington,"Feb 3, 2001",Sri Lanka
ODI # 1683,Australia,Zimbabwe,1 run,Perth,"Feb 4, 2001",Australia
ODI # 1684,New Zealand,Sri Lanka,9 wickets,Auckland,"Feb 6, 2001",Sri Lanka
ODI # 1685,Australia,West Indies,134 runs,Sydney,"Feb 7, 2001",Australia
ODI # 1686,New Zealand,Sri Lanka,3 runs,Hamilton,"Feb 8, 2001",Sri Lanka
ODI # 1687,Australia,West Indies,39 runs,Melbourne,"Feb 9, 2001",Australia
ODI # 1688,New Zealand,Sri Lanka,13 runs,Christchurch,"Feb 11, 2001",New Zealand
ODI # 1689,New Zealand,Pakistan,6 wickets,Auckland,"Feb 17-18, 2001",Pakistan
ODI # 1690,New Zealand,Pakistan,6 wickets,Napier,"Feb 20, 2001",New Zealand
ODI # 1691,New Zealand,Pakistan,28 runs,Wellington,"Feb 22, 2001",Pakistan
ODI # 1692,New Zealand,Pakistan,138 runs,Christchurch,"Feb 25, 2001",New Zealand
ODI # 1693,New Zealand,Pakistan,4 wickets,Dunedin,"Feb 28, 2001",New Zealand
ODI # 1694,Sri Lanka,England,5 wickets,Dambulla,"Mar 23, 2001",Sri Lanka
ODI # 1695,Sri Lanka,England,66 runs,Colombo (RPS),"Mar 25, 2001",Sri Lanka
ODI # 1696,India,Australia,60 runs,Bengaluru,"Mar 25, 2001",India
ODI # 1697,Sri Lanka,England,10 wickets,Colombo (SSC),"Mar 27, 2001",Sri Lanka
ODI # 1698,India,Australia,8 wickets,Pune,"Mar 28, 2001",Australia
ODI # 1699,India,Australia,118 runs,Indore,"Mar 31, 2001",India
ODI # 1700,India,Australia,93 runs,Visakhapatnam,"Apr 3, 2001",Australia
ODI # 1701,India,Australia,4 wickets,Margao,"Apr 6, 2001",Australia
ODI # 1702,Zimbabwe,Bangladesh,7 wickets,Harare,"Apr 7, 2001",Zimbabwe
ODI # 1703,Zimbabwe,Bangladesh,127 runs,Harare,"Apr 8, 2001",Zimbabwe
ODI # 1704,Pakistan,Sri Lanka,16 runs,Sharjah,"Apr 8, 2001",Pakistan
ODI # 1705,New Zealand,Sri Lanka,106 runs,Sharjah,"Apr 10, 2001",Sri Lanka
ODI # 1706,Zimbabwe,Bangladesh,36 runs,Bulawayo,"Apr 11, 2001",Zimbabwe
ODI # 1707,New Zealand,Pakistan,8 wickets,Sharjah,"Apr 12, 2001",Pakistan
ODI # 1708,Pakistan,Sri Lanka,28 runs,Sharjah,"Apr 13, 2001",Pakistan
ODI # 1709,New Zealand,Pakistan,7 wickets,Sharjah,"Apr 15, 2001",Pakistan
ODI # 1710,New Zealand,Sri Lanka,79 runs,Sharjah,"Apr 17, 2001",New Zealand
ODI # 1711,Pakistan,Sri Lanka,77 runs,Sharjah,"Apr 20, 2001",Sri Lanka
ODI # 1712,West Indies,South Africa,3 wickets,Kingston,"Apr 28, 2001",West Indies
ODI # 1713,West Indies,South Africa,8 wickets,St John's,"May 2, 2001",South Africa
ODI # 1714,West Indies,South Africa,132 runs,St George's,"May 5, 2001",South Africa
ODI # 1715,West Indies,South Africa,8 wickets,St George's,"May 6, 2001",South Africa
ODI # 1716,West Indies,South Africa,7 wickets,Bridgetown,"May 9, 2001",South Africa
ODI # 1717,West Indies,South Africa,53 runs,Port of Spain,"May 12, 2001",South Africa
ODI # 1718,West Indies,South Africa,6 wickets,Kingstown,"May 16, 2001",West Indies
ODI # 1719,England,Pakistan,108 runs,Birmingham,"Jun 7, 2001",Pakistan
ODI # 1720,Australia,Pakistan,7 wickets,Cardiff,"Jun 9, 2001",Australia
ODI # 1721,England,Australia,5 wickets,Bristol,"Jun 10, 2001",Australia
ODI # 1722,England,Pakistan,2 runs,Lord's,"Jun 12, 2001",Pakistan
ODI # 1723,England,Australia,125 runs,Manchester,"Jun 14, 2001",Australia
ODI # 1724,England,Pakistan,,Leeds,"Jun 17, 2001",Pakistan
ODI # 1725,Australia,Pakistan,36 runs,Nottingham,"Jun 19, 2001",Pakistan
ODI # 1726,England,Australia,8 wickets,The Oval,"Jun 21, 2001",Australia
ODI # 1727,Zimbabwe,West Indies,27 runs,Harare,"Jun 23, 2001",West Indies
ODI # 1728,Australia,Pakistan,9 wickets,Lord's,"Jun 23, 2001",Australia
ODI # 1729,Zimbabwe,India,9 wickets,Harare,"Jun 24, 2001",India
ODI # 1730,Zimbabwe,India,4 wickets,Bulawayo,"Jun 27, 2001",India
ODI # 1731,India,West Indies,6 wickets,Bulawayo,"Jun 30, 2001",India
ODI # 1732,Zimbabwe,West Indies,5 wickets,Bulawayo,"Jul 1, 2001",West Indies
ODI # 1733,India,West Indies,6 wickets,Harare,"Jul 4, 2001",India
ODI # 1734,India,West Indies,16 runs,Harare,"Jul 7, 2001",West Indies
ODI # 1735,Sri Lanka,New Zealand,16 runs,Colombo (RPS),"Jul 18, 2001",Sri Lanka
ODI # 1736,India,New Zealand,84 runs,Colombo (RPS),"Jul 20, 2001",New Zealand
ODI # 1737,Sri Lanka,India,6 runs,Colombo (RPS),"Jul 22, 2001",Sri Lanka
ODI # 1738,Sri Lanka,New Zealand,5 wickets,Colombo (RPS),"Jul 25, 2001",Sri Lanka
ODI # 1739,India,New Zealand,67 runs,Colombo (RPS),"Jul 26, 2001",New Zealand
ODI # 1740,Sri Lanka,India,7 wickets,Colombo (RPS),"Jul 28, 2001",India
ODI # 1741,Sri Lanka,New Zealand,106 runs,Colombo (SSC),"Jul 31, 2001",Sri Lanka
ODI # 1742,Sri Lanka,India,46 runs,Colombo (SSC),"Aug 1, 2001",India
ODI # 1743,India,New Zealand,7 wickets,Colombo (SSC),"Aug 2, 2001",India
ODI # 1744,Sri Lanka,India,121 runs,Colombo (RPS),"Aug 5, 2001",Sri Lanka
ODI # 1745,Kenya,West Indies,106 runs,Nairobi,"Aug 15, 2001",West Indies
ODI # 1746,Kenya,West Indies,6 wickets,Nairobi (Gym),"Aug 18, 2001",West Indies
ODI # 1747,Kenya,West Indies,7 wickets,Nairobi (Gym),"Aug 19, 2001",West Indies
ODI # 1748,Zimbabwe,South Africa,153 runs,Bulawayo,"Sep 23, 2001",South Africa
ODI # 1749,Zimbabwe,South Africa,148 runs,Harare,"Sep 29, 2001",South Africa
ODI # 1750,Zimbabwe,South Africa,6 wickets,Harare,"Sep 30, 2001",South Africa
ODI # 1751,Zimbabwe,England,5 wickets,Harare,"Oct 3, 2001",England
ODI # 1752,South Africa,India,6 wickets,Johannesburg,"Oct 5, 2001",South Africa
ODI # 1753,Zimbabwe,England,8 wickets,Harare,"Oct 6, 2001",England
ODI # 1754,Zimbabwe,England,4 wickets,Harare,"Oct 7, 2001",England
ODI # 1755,South Africa,Kenya,7 wickets,Benoni,"Oct 7, 2001",South Africa
ODI # 1756,Zimbabwe,England,70 runs,Bulawayo,"Oct 10, 2001",England
ODI # 1757,South Africa,India,41 runs,Centurion,"Oct 10, 2001",India
ODI # 1758,India,Kenya,10 wickets,Bloemfontein,"Oct 12, 2001",India
ODI # 1759,Zimbabwe,England,7 wickets,Bulawayo,"Oct 13, 2001",England
ODI # 1760,South Africa,Kenya,9 wickets,Kimberley,"Oct 14, 2001",South Africa
ODI # 1761,India,Kenya,70 runs,Port Elizabeth,"Oct 17, 2001",Kenya
ODI # 1762,South Africa,India,46 runs,East London,"Oct 19, 2001",South Africa
ODI # 1763,South Africa,Kenya,208 runs,Cape Town,"Oct 22, 2001",South Africa
ODI # 1764,India,Kenya,186 runs,Paarl,"Oct 24, 2001",India
ODI # 1765,Sri Lanka,Zimbabwe,63 runs,Sharjah,"Oct 26, 2001",Sri Lanka
ODI # 1766,South Africa,India,6 wickets,Durban,"Oct 26, 2001",South Africa
ODI # 1767,Pakistan,Sri Lanka,7 wickets,Sharjah,"Oct 27, 2001",Sri Lanka
ODI # 1768,Pakistan,Zimbabwe,106 runs,Sharjah,"Oct 28, 2001",Pakistan
ODI # 1769,Sri Lanka,Zimbabwe,79 runs,Sharjah,"Oct 30, 2001",Sri Lanka
ODI # 1770,Pakistan,Zimbabwe,29 runs,Sharjah,"Oct 31, 2001",Pakistan
ODI # 1771,Pakistan,Sri Lanka,7 wickets,Sharjah,"Nov 2, 2001",Pakistan
ODI # 1772,Pakistan,Sri Lanka,5 wickets,Sharjah,"Nov 4, 2001",Pakistan
ODI # 1773,Bangladesh,Zimbabwe,5 wickets,Chittagong,"Nov 23, 2001",Zimbabwe
ODI # 1774,Bangladesh,Zimbabwe,42 runs,Dhaka,"Nov 25, 2001",Zimbabwe
ODI # 1775,Bangladesh,Zimbabwe,7 wickets,Dhaka,"Nov 26, 2001",Zimbabwe
ODI # 1776,Sri Lanka,Zimbabwe,9 wickets,Colombo (SSC),"Dec 8, 2001",Sri Lanka
ODI # 1777,West Indies,Zimbabwe,4 wickets,Colombo (SSC),"Dec 9, 2001",Zimbabwe
ODI # 1778,Sri Lanka,West Indies,49 runs,Colombo (RPS),"Dec 11, 2001",West Indies
ODI # 1779,Sri Lanka,Zimbabwe,59 runs,Colombo (RPS),"Dec 12, 2001",Sri Lanka
ODI # 1780,Sri Lanka,West Indies,8 wickets,Kandy,"Dec 15, 2001",Sri Lanka
ODI # 1781,West Indies,Zimbabwe,8 wickets,Kandy,"Dec 16, 2001",West Indies
ODI # 1782,Sri Lanka,West Indies,34 runs,Colombo (RPS),"Dec 19, 2001",Sri Lanka
ODI # 1783,Australia,New Zealand,23 runs,Melbourne,"Jan 11, 2002",New Zealand
ODI # 1784,Australia,South Africa,4 wickets,Melbourne,"Jan 13, 2002",South Africa
ODI # 1785,New Zealand,South Africa,26 runs,Hobart,"Jan 15, 2002",South Africa
ODI # 1786,Australia,New Zealand,23 runs,Sydney,"Jan 17, 2002",New Zealand
ODI # 1787,New Zealand,South Africa,4 wickets,Brisbane,"Jan 19, 2002",New Zealand
ODI # 1788,India,England,22 runs,Kolkata,"Jan 19, 2002",India
ODI # 1789,Australia,South Africa,27 runs,Brisbane,"Jan 20, 2002",Australia
ODI # 1790,Bangladesh,Pakistan,49 runs,Chittagong,"Jan 22, 2002",Pakistan
ODI # 1791,Australia,South Africa,8 wickets,Sydney,"Jan 22, 2002",Australia
ODI # 1792,India,England,16 runs,Cuttack,"Jan 22, 2002",England
ODI # 1793,Bangladesh,Pakistan,72 runs,Dhaka,"Jan 24, 2002",Pakistan
ODI # 1794,Bangladesh,Pakistan,8 wickets,Dhaka,"Jan 25, 2002",Pakistan
ODI # 1795,India,England,4 wickets,Chennai,"Jan 25, 2002",India
ODI # 1796,Australia,New Zealand,77 runs,Adelaide,"Jan 26, 2002",New Zealand
ODI # 1797,New Zealand,South Africa,93 runs,Adelaide,"Jan 27, 2002",South Africa
ODI # 1798,India,England,8 wickets,Kanpur,"Jan 28, 2002",India
ODI # 1799,Australia,New Zealand,2 wickets,Melbourne,"Jan 29, 2002",Australia
ODI # 1800,India,England,2 runs,Delhi,"Jan 31, 2002",England
ODI # 1801,New Zealand,South Africa,67 runs,Perth,"Feb 1, 2002",South Africa
ODI # 1802,Australia,South Africa,33 runs,Perth,"Feb 3, 2002",Australia
ODI # 1803,India,England,5 runs,Mumbai,"Feb 3, 2002",England
ODI # 1804,New Zealand,South Africa,8 wickets,Melbourne,"Feb 6, 2002",South Africa
ODI # 1805,New Zealand,South Africa,6 wickets,Sydney,"Feb 8, 2002",South Africa
ODI # 1806,New Zealand,England,4 wickets,Christchurch,"Feb 13, 2002",New Zealand
ODI # 1807,Pakistan,West Indies,4 wickets,Sharjah,"Feb 14, 2002",Pakistan
ODI # 1808,Pakistan,West Indies,51 runs,Sharjah,"Feb 15, 2002",Pakistan
ODI # 1809,New Zealand,England,155 runs,Wellington,"Feb 16, 2002",New Zealand
ODI # 1810,Pakistan,West Indies,110 runs,Sharjah,"Feb 17, 2002",West Indies
ODI # 1811,New Zealand,England,43 runs,Napier,"Feb 20, 2002",England
ODI # 1812,New Zealand,England,33 runs,Auckland,"Feb 23, 2002",England
ODI # 1813,New Zealand,England,5 wickets,Dunedin,"Feb 26, 2002",New Zealand
ODI # 1814,India,Zimbabwe,1 wicket,Faridabad,"Mar 7, 2002",Zimbabwe
ODI # 1815,India,Zimbabwe,64 runs,Mohali,"Mar 10, 2002",India
ODI # 1816,India,Zimbabwe,6 wickets,Kochi,"Mar 13, 2002",Zimbabwe
ODI # 1817,India,Zimbabwe,5 wickets,Hyderabad (Deccan),"Mar 16, 2002",India
ODI # 1818,India,Zimbabwe,101 runs,Guwahati,"Mar 19, 2002",India
ODI # 1819,South Africa,Australia,19 runs,Johannesburg,"Mar 22, 2002",Australia
ODI # 1820,South Africa,Australia,45 runs,Centurion,"Mar 24, 2002",Australia
ODI # 1821,South Africa,Australia,,Potchefstroom,"Mar 27, 2002",tied
ODI # 1822,South Africa,Australia,37 runs,Bloemfontein,"Mar 30, 2002",Australia
ODI # 1823,South Africa,Australia,8 wickets,Durban,"Apr 3, 2002",Australia
ODI # 1824,South Africa,Australia,3 wickets,Port Elizabeth,"Apr 6, 2002",Australia
ODI # 1825,Pakistan,Sri Lanka,41 runs,Sharjah,"Apr 8, 2002",Sri Lanka
ODI # 1826,New Zealand,Sri Lanka,11 runs,Sharjah,"Apr 9, 2002",New Zealand
ODI # 1827,South Africa,Australia,65 runs,Cape Town,"Apr 9, 2002",South Africa
ODI # 1828,New Zealand,Pakistan,51 runs,Sharjah,"Apr 11, 2002",Pakistan
ODI # 1829,Pakistan,Sri Lanka,9 runs,Sharjah,"Apr 12, 2002",Sri Lanka
ODI # 1830,New Zealand,Sri Lanka,46 runs,Sharjah,"Apr 14, 2002",Sri Lanka
ODI # 1831,New Zealand,Pakistan,8 wickets,Sharjah,"Apr 15, 2002",Pakistan
ODI # 1832,Pakistan,Sri Lanka,217 runs,Sharjah,"Apr 17, 2002",Pakistan
