Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 3784,Pakistan,West Indies,Pakistan,111 runs,Sharjah,"Sep 30, 2016"
ODI # 3785,South Africa,Australia,South Africa,6 wickets,Centurion,"Sep 30, 2016"
ODI # 3786,Bangladesh,Afghanistan,Bangladesh,141 runs,Dhaka,"Oct 1, 2016"
ODI # 3787,South Africa,Australia,South Africa,142 runs,Johannesburg,"Oct 2, 2016"
ODI # 3788,Pakistan,West Indies,Pakistan,59 runs,Sharjah,"Oct 2, 2016"
ODI # 3789,Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,"Oct 5, 2016"
ODI # 3790,South Africa,Australia,South Africa,4 wickets,Durban,"Oct 5, 2016"
ODI # 3791,Bangladesh,England,England,21 runs,Dhaka,"Oct 7, 2016"
ODI # 3792,South Africa,Australia,South Africa,6 wickets,Port Elizabeth,"Oct 9, 2016"
ODI # 3793,Bangladesh,England,Bangladesh,34 runs,Dhaka,"Oct 9, 2016"
ODI # 3794,Bangladesh,England,England,4 wickets,Chittagong,"Oct 12, 2016"
ODI # 3795,South Africa,Australia,South Africa,31 runs,Cape Town,"Oct 12, 2016"
ODI # 3796,India,New Zealand,India,6 wickets,Dharamsala,"Oct 16, 2016"
ODI # 3797,India,New Zealand,New Zealand,6 runs,Delhi,"Oct 20, 2016"
ODI # 3798,India,New Zealand,India,7 wickets,Mohali,"Oct 23, 2016"
ODI # 3799,India,New Zealand,New Zealand,19 runs,Ranchi,"Oct 26, 2016"
ODI # 3800,India,New Zealand,India,190 runs,Visakhapatnam,"Oct 29, 2016"
ODI # 3801,Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok,"Nov 4, 2016"
ODI # 3802,Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok,"Nov 6, 2016"
ODI # 3803,Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok,"Nov 8, 2016"
ODI # 3804,Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,"Nov 14, 2016"
ODI # 3805,Sri Lanka,West Indies,West Indies,62 runs,Harare,"Nov 16, 2016"
ODI # 3806,Zimbabwe,West Indies,tied,,Bulawayo,"Nov 19, 2016"
ODI # 3807,Zimbabwe,Sri Lanka,no result,,Bulawayo,"Nov 21, 2016"
ODI # 3808,Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,"Nov 23, 2016"
ODI # 3809,Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,"Nov 25, 2016"
ODI # 3810,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,"Nov 27, 2016"
ODI # 3811,Australia,New Zealand,Australia,68 runs,Sydney,"Dec 4, 2016"
ODI # 3812,Australia,New Zealand,Australia,116 runs,Canberra,"Dec 6, 2016"
ODI # 3813,Australia,New Zealand,Australia,117 runs,Melbourne,"Dec 9, 2016"
ODI # 3814,New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,"Dec 26, 2016"
ODI # 3815,New Zealand,Bangladesh,New Zealand,67 runs,Nelson,"Dec 29, 2016"
ODI # 3816,New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,"Dec 31, 2016"
