,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
39,ODI # 43,England,Australia,101 runs,Birmingham,"Jun 4, 1977",England
40,ODI # 44,England,Australia,2 wickets,The Oval,"Jun 6, 1977",Australia
41,ODI # 45,Pakistan,England,3 wickets,Sahiwal,"Dec 23, 1977",England
42,ODI # 46,Pakistan,England,6 wickets,Sialkot,"Dec 30, 1977",England
43,ODI # 47,Pakistan,England,36 runs,Lahore,"Jan 13, 1978",Pakistan
44,ODI # 48,West Indies,Australia,44 runs,St John's,"Feb 22, 1978",West Indies
45,ODI # 49,West Indies,Australia,2 wickets,Castries,"Apr 12, 1978",Australia
46,ODI # 50,England,Pakistan,132 runs,Manchester,"May 24-25, 1978",England
47,ODI # 51,England,Pakistan,94 runs,The Oval,"May 26, 1978",England
48,ODI # 52,England,New Zealand,19 runs,Scarborough,"Jul 15, 1978",England
49,ODI # 53,England,New Zealand,126 runs,Manchester,"Jul 17, 1978",England
50,ODI # 54,Pakistan,India,4 runs,Quetta,"Oct 1, 1978",India
51,ODI # 55,Pakistan,India,8 wickets,Sialkot,"Oct 13, 1978",Pakistan
52,ODI # 56,Pakistan,India,,Sahiwal,"Nov 3, 1978",Pakistan
53,ODI # 58,Australia,England,7 wickets,Melbourne,"Jan 24, 1979",England
54,ODI # 59,Australia,England,4 wickets,Melbourne,"Feb 4, 1979",Australia
55,ODI # 60,Australia,England,6 wickets,Melbourne,"Feb 7, 1979",Australia
56,ODI # 61,India,West Indies,9 wickets,Birmingham,"Jun 9, 1979",West Indies
57,ODI # 62,New Zealand,Sri Lanka,9 wickets,Nottingham,"Jun 9, 1979",New Zealand
58,ODI # 63,England,Australia,6 wickets,Lord's,"Jun 9, 1979",England
59,ODI # 64,Canada,Pakistan,8 wickets,Leeds,"Jun 9, 1979",Pakistan
60,ODI # 65,India,New Zealand,8 wickets,Leeds,"Jun 13, 1979",New Zealand
61,ODI # 66,Australia,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979",Pakistan
62,ODI # 67,England,Canada,8 wickets,Manchester,"Jun 13-14, 1979",England
63,ODI # 68,India,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979",Sri Lanka
64,ODI # 69,New Zealand,West Indies,32 runs,Nottingham,"Jun 16, 1979",West Indies
65,ODI # 70,Australia,Canada,7 wickets,Birmingham,"Jun 16, 1979",Australia
66,ODI # 71,England,Pakistan,14 runs,Leeds,"Jun 16, 1979",England
67,ODI # 72,England,New Zealand,9 runs,Manchester,"Jun 20, 1979",England
68,ODI # 73,Pakistan,West Indies,43 runs,The Oval,"Jun 20, 1979",West Indies
69,ODI # 74,England,West Indies,92 runs,Lord's,"Jun 23, 1979",West Indies
70,ODI # 75,Australia,West Indies,5 wickets,Sydney,"Nov 27, 1979",Australia
71,ODI # 76,England,West Indies,2 runs,Sydney,"Nov 28, 1979",England
72,ODI # 77,Australia,England,3 wickets,Melbourne,"Dec 8, 1979",England
73,ODI # 78,Australia,West Indies,80 runs,Melbourne,"Dec 9, 1979",West Indies
74,ODI # 79,Australia,England,72 runs,Sydney,"Dec 11, 1979",England
75,ODI # 80,Australia,West Indies,7 runs,Sydney,"Dec 21, 1979",Australia
76,ODI # 81,England,West Indies,9 wickets,Brisbane,"Dec 23, 1979",West Indies
77,ODI # 82,Australia,England,4 wickets,Sydney,"Dec 26, 1979",England
78,ODI # 83,Australia,England,2 wickets,Sydney,"Jan 14, 1980",England
79,ODI # 84,England,West Indies,107 runs,Adelaide,"Jan 16, 1980",West Indies
80,ODI # 85,Australia,West Indies,9 runs,Sydney,"Jan 18, 1980",Australia
81,ODI # 86,England,West Indies,2 runs,Melbourne,"Jan 20, 1980",West Indies
82,ODI # 87,England,West Indies,8 wickets,Sydney,"Jan 22, 1980",West Indies
83,ODI # 88,New Zealand,West Indies,1 wicket,Christchurch,"Feb 6, 1980",New Zealand
84,ODI # 89,England,West Indies,24 runs,Leeds,"May 28-29, 1980",West Indies
85,ODI # 90,England,West Indies,3 wickets,Lord's,"May 30, 1980",England
86,ODI # 91,England,Australia,23 runs,The Oval,"Aug 20, 1980",England
87,ODI # 92,England,Australia,47 runs,Birmingham,"Aug 22, 1980",England
88,ODI # 93,Pakistan,West Indies,4 wickets,Karachi,"Nov 21, 1980",West Indies
89,ODI # 94,Australia,New Zealand,3 wickets,Adelaide,"Nov 23, 1980",New Zealand
90,ODI # 95,Australia,New Zealand,94 runs,Sydney,"Nov 25, 1980",Australia
91,ODI # 96,Pakistan,West Indies,7 wickets,Sialkot,"Dec 5, 1980",West Indies
92,ODI # 97,Australia,India,66 runs,Melbourne,"Dec 6, 1980",India
93,ODI # 98,Australia,New Zealand,4 wickets,Melbourne,"Dec 7, 1980",Australia
94,ODI # 99,India,New Zealand,5 runs,Perth,"Dec 9, 1980",India
95,ODI # 100,Australia,India,9 wickets,Sydney,"Dec 18, 1980",Australia
96,ODI # 101,Pakistan,West Indies,7 runs,Lahore,"Dec 19, 1980",West Indies
97,ODI # 102,India,New Zealand,3 wickets,Brisbane,"Dec 21, 1980",New Zealand
98,ODI # 103,India,New Zealand,6 runs,Adelaide,"Dec 23, 1980",India
99,ODI # 104,Australia,India,9 wickets,Sydney,"Jan 8, 1981",Australia
100,ODI # 105,India,New Zealand,10 wickets,Melbourne,"Jan 10, 1981",New Zealand
101,ODI # 106,Australia,India,7 wickets,Melbourne,"Jan 11, 1981",Australia
102,ODI # 107,Australia,New Zealand,1 run,Sydney,"Jan 13, 1981",New Zealand
103,ODI # 108,Australia,India,27 runs,Sydney,"Jan 15, 1981",Australia
104,ODI # 109,India,New Zealand,22 runs,Brisbane,"Jan 18, 1981",New Zealand
105,ODI # 111,Australia,New Zealand,78 runs,Sydney,"Jan 29, 1981",New Zealand
106,ODI # 112,Australia,New Zealand,7 wickets,Melbourne,"Jan 31, 1981",Australia
107,ODI # 113,Australia,New Zealand,6 runs,Melbourne,"Feb 1, 1981",Australia
108,ODI # 114,Australia,New Zealand,6 wickets,Sydney,"Feb 3, 1981",Australia
109,ODI # 115,West Indies,England,2 runs,Kingstown,"Feb 4, 1981",West Indies
110,ODI # 116,New Zealand,India,78 runs,Auckland,"Feb 14, 1981",New Zealand
111,ODI # 117,New Zealand,India,57 runs,Hamilton,"Feb 15, 1981",New Zealand
112,ODI # 118,West Indies,England,6 wickets,Albion,"Feb 26, 1981",West Indies
113,ODI # 119,England,Australia,6 wickets,Lord's,"Jun 4, 1981",England
114,ODI # 120,England,Australia,2 runs,Birmingham,"Jun 6, 1981",Australia
115,ODI # 121,England,Australia,71 runs,Leeds,"Jun 8, 1981",Australia
116,ODI # 122,Pakistan,West Indies,18 runs,Melbourne,"Nov 21, 1981",West Indies
117,ODI # 123,Australia,Pakistan,4 wickets,Melbourne,"Nov 22, 1981",Pakistan
118,ODI # 124,Australia,West Indies,7 wickets,Sydney,"Nov 24, 1981",Australia
119,ODI # 125,India,England,5 wickets,Ahmedabad,"Nov 25, 1981",England
120,ODI # 126,Pakistan,West Indies,8 runs,Adelaide,"Dec 5, 1981",Pakistan
121,ODI # 127,Australia,Pakistan,38 runs,Adelaide,"Dec 6, 1981",Australia
122,ODI # 128,Australia,Pakistan,6 wickets,Sydney,"Dec 17, 1981",Pakistan
123,ODI # 129,Pakistan,West Indies,7 wickets,Perth,"Dec 19, 1981",West Indies
124,ODI # 130,Australia,West Indies,8 wickets,Perth,"Dec 20, 1981",West Indies
125,ODI # 131,India,England,6 wickets,Jalandhar,"Dec 20, 1981",India
126,ODI # 132,Australia,Pakistan,25 runs,Melbourne,"Jan 9, 1982",Pakistan
127,ODI # 133,Australia,West Indies,5 wickets,Melbourne,"Jan 10, 1982",West Indies
128,ODI # 134,Pakistan,West Indies,7 wickets,Sydney,"Jan 12, 1982",West Indies
129,ODI # 135,Australia,Pakistan,76 runs,Sydney,"Jan 14, 1982",Australia
130,ODI # 136,Pakistan,West Indies,1 wicket,Brisbane,"Jan 16, 1982",West Indies
131,ODI # 137,Australia,West Indies,5 wickets,Brisbane,"Jan 17, 1982",West Indies
132,ODI # 138,Australia,West Indies,5 runs,Sydney,"Jan 19, 1982",Australia
133,ODI # 139,Australia,West Indies,86 runs,Melbourne,"Jan 23, 1982",West Indies
134,ODI # 140,Australia,West Indies,128 runs,Melbourne,"Jan 24, 1982",West Indies
135,ODI # 141,Australia,West Indies,46 runs,Sydney,"Jan 26, 1982",Australia
136,ODI # 142,Australia,West Indies,18 runs,Sydney,"Jan 27, 1982",West Indies
137,ODI # 143,India,England,5 wickets,Cuttack,"Jan 27, 1982",India
138,ODI # 144,New Zealand,Australia,46 runs,Auckland,"Feb 13, 1982",New Zealand
139,ODI # 145,Sri Lanka,England,5 runs,Colombo,"Feb 13, 1982",England
140,ODI # 146,Sri Lanka,England,3 runs,Colombo,"Feb 14, 1982",Sri Lanka
141,ODI # 147,New Zealand,Australia,6 wickets,Dunedin,"Feb 17, 1982",Australia
142,ODI # 148,New Zealand,Australia,8 wickets,Wellington,"Feb 20, 1982",Australia
143,ODI # 149,Pakistan,Sri Lanka,8 wickets,Karachi,"Mar 12, 1982",Pakistan
144,ODI # 150,Pakistan,Sri Lanka,30 runs,Lahore,"Mar 29, 1982",Sri Lanka
145,ODI # 151,Pakistan,Sri Lanka,5 wickets,Karachi,"Mar 31, 1982",Pakistan
146,ODI # 152,England,India,9 wickets,Leeds,"Jun 2, 1982",England
147,ODI # 153,England,India,114 runs,The Oval,"Jun 4, 1982",England
148,ODI # 154,England,Pakistan,7 wickets,Nottingham,"Jul 17, 1982",England
149,ODI # 155,England,Pakistan,73 runs,Manchester,"Jul 19, 1982",England
150,ODI # 156,India,Sri Lanka,78 runs,Amritsar,"Sep 12, 1982",India
151,ODI # 157,India,Sri Lanka,6 wickets,Delhi,"Sep 15, 1982",India
152,ODI # 158,Pakistan,Australia,59 runs,Hyderabad,"Sep 20, 1982",Pakistan
153,ODI # 159,India,Sri Lanka,6 wickets,Bengaluru,"Sep 26, 1982",India
154,ODI # 160,Pakistan,Australia,28 runs,Lahore,"Oct 8, 1982",Pakistan
155,ODI # 162,Pakistan,India,14 runs,Gujranwala,"Dec 3, 1982",Pakistan
156,ODI # 163,Pakistan,India,37 runs,Multan,"Dec 17, 1982",Pakistan
157,ODI # 164,Pakistan,India,18 runs,Lahore,"Dec 31, 1982",India
158,ODI # 165,Australia,New Zealand,8 wickets,Melbourne,"Jan 9, 1983",Australia
159,ODI # 166,Australia,England,31 runs,Sydney,"Jan 11, 1983",Australia
160,ODI # 167,England,New Zealand,2 runs,Melbourne,"Jan 13, 1983",New Zealand
161,ODI # 168,England,New Zealand,54 runs,Brisbane,"Jan 15, 1983",England
162,ODI # 169,Australia,England,7 wickets,Brisbane,"Jan 16, 1983",Australia
163,ODI # 170,Australia,New Zealand,47 runs,Sydney,"Jan 18, 1983",New Zealand
164,ODI # 171,England,New Zealand,8 wickets,Sydney,"Jan 20, 1983",England
165,ODI # 172,Pakistan,India,8 wickets,Karachi,"Jan 21, 1983",Pakistan
166,ODI # 173,Australia,New Zealand,58 runs,Melbourne,"Jan 22, 1983",New Zealand
167,ODI # 174,Australia,England,5 wickets,Melbourne,"Jan 23, 1983",Australia
168,ODI # 175,Australia,England,98 runs,Sydney,"Jan 26, 1983",England
169,ODI # 176,England,New Zealand,4 wickets,Adelaide,"Jan 29, 1983",New Zealand
170,ODI # 177,Australia,England,14 runs,Adelaide,"Jan 30, 1983",England
171,ODI # 178,Australia,New Zealand,47 runs,Adelaide,"Jan 31, 1983",New Zealand
172,ODI # 179,England,New Zealand,7 wickets,Perth,"Feb 5, 1983",New Zealand
173,ODI # 180,Australia,New Zealand,27 runs,Perth,"Feb 6, 1983",Australia
174,ODI # 181,Australia,New Zealand,6 wickets,Sydney,"Feb 9, 1983",Australia
175,ODI # 182,Australia,New Zealand,149 runs,Melbourne,"Feb 13, 1983",Australia
176,ODI # 183,New Zealand,England,6 wickets,Auckland,"Feb 19, 1983",New Zealand
177,ODI # 184,New Zealand,England,103 runs,Wellington,"Feb 23, 1983",New Zealand
178,ODI # 185,New Zealand,England,84 runs,Christchurch,"Feb 26, 1983",New Zealand
179,ODI # 186,New Zealand,Sri Lanka,65 runs,Dunedin,"Mar 2, 1983",New Zealand
180,ODI # 187,West Indies,India,52 runs,Port of Spain,"Mar 9, 1983",West Indies
181,ODI # 188,Australia,New Zealand,14 runs,Sydney,"Mar 17, 1983",New Zealand
182,ODI # 189,New Zealand,Sri Lanka,7 wickets,Napier,"Mar 19, 1983",New Zealand
183,ODI # 190,New Zealand,Sri Lanka,116 runs,Auckland,"Mar 20, 1983",New Zealand
184,ODI # 191,West Indies,India,27 runs,Albion,"Mar 29, 1983",India
185,ODI # 192,West Indies,India,7 wickets,St George's,"Apr 7, 1983",West Indies
186,ODI # 193,Sri Lanka,Australia,2 wickets,Colombo,"Apr 13, 1983",Sri Lanka
187,ODI # 194,Sri Lanka,Australia,4 wickets,Colombo,"Apr 16, 1983",Sri Lanka
188,ODI # 197,England,New Zealand,106 runs,The Oval,"Jun 9, 1983",England
189,ODI # 198,Pakistan,Sri Lanka,50 runs,Swansea,"Jun 9, 1983",Pakistan
190,ODI # 199,Australia,Zimbabwe,13 runs,Nottingham,"Jun 9, 1983",Zimbabwe
191,ODI # 200,India,West Indies,34 runs,Manchester,"Jun 9-10, 1983",India
192,ODI # 201,England,Sri Lanka,47 runs,Taunton,"Jun 11, 1983",England
193,ODI # 202,New Zealand,Pakistan,52 runs,Birmingham,"Jun 11-12, 1983",New Zealand
194,ODI # 203,Australia,West Indies,101 runs,Leeds,"Jun 11-12, 1983",West Indies
195,ODI # 204,India,Zimbabwe,5 wickets,Leicester,"Jun 11, 1983",India
196,ODI # 205,England,Pakistan,8 wickets,Lord's,"Jun 13, 1983",England
197,ODI # 206,New Zealand,Sri Lanka,5 wickets,Bristol,"Jun 13, 1983",New Zealand
198,ODI # 207,Australia,India,162 runs,Nottingham,"Jun 13, 1983",Australia
199,ODI # 208,West Indies,Zimbabwe,8 wickets,Worcester,"Jun 13, 1983",West Indies
200,ODI # 209,England,New Zealand,2 wickets,Birmingham,"Jun 15, 1983",New Zealand
201,ODI # 210,India,West Indies,66 runs,The Oval,"Jun 15, 1983",West Indies
202,ODI # 211,Pakistan,Sri Lanka,11 runs,Leeds,"Jun 16, 1983",Pakistan
203,ODI # 212,Australia,Zimbabwe,32 runs,Southampton,"Jun 16, 1983",Australia
204,ODI # 213,England,Pakistan,7 wickets,Manchester,"Jun 18, 1983",England
205,ODI # 214,New Zealand,Sri Lanka,3 wickets,Derby,"Jun 18, 1983",Sri Lanka
206,ODI # 215,Australia,West Indies,7 wickets,Lord's,"Jun 18, 1983",West Indies
207,ODI # 216,India,Zimbabwe,31 runs,Tunbridge Wells,"Jun 18, 1983",India
208,ODI # 217,England,Sri Lanka,9 wickets,Leeds,"Jun 20, 1983",England
209,ODI # 218,New Zealand,Pakistan,11 runs,Nottingham,"Jun 20, 1983",Pakistan
210,ODI # 219,Australia,India,118 runs,Chelmsford,"Jun 20, 1983",India
211,ODI # 220,West Indies,Zimbabwe,10 wickets,Birmingham,"Jun 20, 1983",West Indies
212,ODI # 221,England,India,6 wickets,Manchester,"Jun 22, 1983",India
213,ODI # 222,Pakistan,West Indies,8 wickets,The Oval,"Jun 22, 1983",West Indies
214,ODI # 223,India,West Indies,43 runs,Lord's,"Jun 25, 1983",India
215,ODI # 224,India,Pakistan,4 wickets,Hyderabad,"Sep 10, 1983",India
216,ODI # 225,India,Pakistan,4 wickets,Jaipur,"Oct 2, 1983",India
217,ODI # 226,India,West Indies,28 runs,Srinagar,"Oct 13, 1983",West Indies
218,ODI # 227,India,West Indies,4 wickets,Vadodara,"Nov 9, 1983",West Indies
219,ODI # 228,India,West Indies,8 wickets,Indore,"Dec 1, 1983",West Indies
220,ODI # 229,India,West Indies,104 runs,Jamshedpur,"Dec 7, 1983",West Indies
221,ODI # 230,India,West Indies,6 wickets,Guwahati,"Dec 17, 1983",West Indies
222,ODI # 231,Australia,West Indies,27 runs,Melbourne,"Jan 8, 1984",West Indies
223,ODI # 232,Australia,Pakistan,34 runs,Sydney,"Jan 10, 1984",Australia
224,ODI # 233,Pakistan,West Indies,97 runs,Melbourne,"Jan 12, 1984",Pakistan
225,ODI # 234,Pakistan,West Indies,5 wickets,Brisbane,"Jan 14, 1984",West Indies
226,ODI # 236,Australia,West Indies,28 runs,Sydney,"Jan 17, 1984",West Indies
227,ODI # 237,Pakistan,West Indies,5 wickets,Sydney,"Jan 19, 1984",West Indies
228,ODI # 238,Australia,Pakistan,43 runs,Melbourne,"Jan 21, 1984",Australia
229,ODI # 239,Australia,West Indies,26 runs,Melbourne,"Jan 22, 1984",West Indies
230,ODI # 240,Australia,Pakistan,87 runs,Sydney,"Jan 25, 1984",Australia
231,ODI # 241,Pakistan,West Indies,1 wicket,Adelaide,"Jan 28, 1984",West Indies
232,ODI # 242,Australia,West Indies,6 wickets,Adelaide,"Jan 29, 1984",West Indies
233,ODI # 243,Australia,Pakistan,70 runs,Adelaide,"Jan 30, 1984",Australia
234,ODI # 244,Pakistan,West Indies,7 wickets,Perth,"Feb 4, 1984",West Indies
235,ODI # 245,Australia,West Indies,14 runs,Perth,"Feb 5, 1984",Australia
236,ODI # 246,Australia,West Indies,9 wickets,Sydney,"Feb 8, 1984",West Indies
237,ODI # 248,Australia,West Indies,6 wickets,Melbourne,"Feb 12, 1984",West Indies
238,ODI # 249,New Zealand,England,54 runs,Christchurch,"Feb 18, 1984",England
239,ODI # 250,New Zealand,England,6 wickets,Wellington,"Feb 22, 1984",England
240,ODI # 251,New Zealand,England,7 wickets,Auckland,"Feb 25, 1984",New Zealand
241,ODI # 252,West Indies,Australia,8 wickets,Albion,"Feb 29, 1984",West Indies
242,ODI # 253,Sri Lanka,New Zealand,104 runs,Colombo,"Mar 3, 1984",New Zealand
243,ODI # 254,Pakistan,England,6 wickets,Lahore,"Mar 9, 1984",Pakistan
244,ODI # 255,West Indies,Australia,4 wickets,Port of Spain,"Mar 14, 1984",Australia
245,ODI # 256,Pakistan,England,6 wickets,Karachi,"Mar 26, 1984",England
246,ODI # 257,Sri Lanka,New Zealand,41 runs,Moratuwa,"Mar 31, 1984",Sri Lanka
247,ODI # 258,Sri Lanka,New Zealand,86 runs,Colombo,"Apr 1, 1984",New Zealand
248,ODI # 259,Pakistan,Sri Lanka,5 wickets,Sharjah,"Apr 6, 1984",Sri Lanka
249,ODI # 260,India,Sri Lanka,10 wickets,Sharjah,"Apr 8, 1984",India
250,ODI # 261,India,Pakistan,54 runs,Sharjah,"Apr 13, 1984",India
251,ODI # 262,West Indies,Australia,7 wickets,Castries,"Apr 19, 1984",West Indies
252,ODI # 263,West Indies,Australia,9 wickets,Kingston,"Apr 26, 1984",West Indies
253,ODI # 264,England,West Indies,104 runs,Manchester,"May 31, 1984",West Indies
254,ODI # 265,England,West Indies,3 wickets,Nottingham,"Jun 2, 1984",England
255,ODI # 266,England,West Indies,8 wickets,Lord's,"Jun 4, 1984",West Indies
256,ODI # 267,India,Australia,48 runs,New Delhi,"Sep 28, 1984",Australia
257,ODI # 270,India,Australia,7 wickets,Ahmedabad,"Oct 5, 1984",Australia
258,ODI # 271,India,Australia,6 wickets,Indore,"Oct 6, 1984",Australia
259,ODI # 272,Pakistan,India,46 runs,Quetta,"Oct 12, 1984",Pakistan
260,ODI # 274,Sri Lanka,New Zealand,4 wickets,Colombo,"Nov 3, 1984",Sri Lanka
261,ODI # 275,Sri Lanka,New Zealand,7 wickets,Moratuwa,"Nov 4, 1984",New Zealand
262,ODI # 276,Pakistan,New Zealand,46 runs,Peshawar,"Nov 12, 1984",Pakistan
263,ODI # 277,Pakistan,New Zealand,5 runs,Faisalabad,"Nov 23, 1984",Pakistan
264,ODI # 278,Pakistan,New Zealand,34 runs,Sialkot,"Dec 2, 1984",New Zealand
265,ODI # 279,India,England,4 wickets,Pune,"Dec 5, 1984",England
266,ODI # 280,Pakistan,New Zealand,1 wicket,Multan,"Dec 7, 1984",Pakistan
267,ODI # 281,India,England,1 run,Cuttack,"Dec 27, 1984",England
268,ODI # 282,Australia,West Indies,7 wickets,Melbourne,"Jan 6, 1985",West Indies
269,ODI # 283,Australia,Sri Lanka,6 wickets,Sydney,"Jan 8, 1985",Australia
270,ODI # 284,Sri Lanka,West Indies,8 wickets,Hobart,"Jan 10, 1985",West Indies
271,ODI # 285,New Zealand,Pakistan,110 runs,Napier,"Jan 12, 1985",New Zealand
272,ODI # 286,Sri Lanka,West Indies,90 runs,Brisbane,"Jan 12, 1985",West Indies
273,ODI # 287,Australia,West Indies,5 wickets,Brisbane,"Jan 13, 1985",West Indies
274,ODI # 288,New Zealand,Pakistan,4 wickets,Hamilton,"Jan 15, 1985",New Zealand
275,ODI # 289,Australia,West Indies,5 wickets,Sydney,"Jan 15, 1985",West Indies
276,ODI # 290,Sri Lanka,West Indies,65 runs,Sydney,"Jan 17, 1985",West Indies
277,ODI # 291,Australia,Sri Lanka,4 wickets,Melbourne,"Jan 19, 1985",Sri Lanka
278,ODI # 292,Australia,West Indies,65 runs,Melbourne,"Jan 20, 1985",West Indies
279,ODI # 293,India,England,3 wickets,Bengaluru,"Jan 20, 1985",England
280,ODI # 294,Australia,Sri Lanka,3 wickets,Sydney,"Jan 23, 1985",Australia
281,ODI # 295,India,England,3 wickets,Nagpur,"Jan 23, 1985",India
282,ODI # 296,Sri Lanka,West Indies,8 wickets,Adelaide,"Jan 26, 1985",West Indies
283,ODI # 297,Australia,West Indies,6 wickets,Adelaide,"Jan 27, 1985",West Indies
284,ODI # 298,India,England,7 runs,Chandigarh,"Jan 27, 1985",England
285,ODI # 299,Australia,Sri Lanka,232 runs,Adelaide,"Jan 28, 1985",Australia
286,ODI # 300,Sri Lanka,West Indies,82 runs,Perth,"Feb 2, 1985",West Indies
287,ODI # 301,Australia,Sri Lanka,9 wickets,Perth,"Feb 3, 1985",Australia
288,ODI # 302,New Zealand,Pakistan,13 runs,Christchurch,"Feb 6, 1985",New Zealand
289,ODI # 303,Australia,West Indies,26 runs,Sydney,"Feb 6, 1985",Australia
290,ODI # 304,Australia,West Indies,4 wickets,Melbourne,"Feb 10, 1985",West Indies
291,ODI # 305,Australia,West Indies,7 wickets,Sydney,"Feb 12, 1985",West Indies
292,ODI # 307,Australia,England,7 wickets,Melbourne,"Feb 17, 1985",Australia
293,ODI # 309,India,Pakistan,6 wickets,Melbourne,"Feb 20, 1985",India
294,ODI # 310,New Zealand,Sri Lanka,51 runs,Melbourne,"Feb 23, 1985",New Zealand
295,ODI # 311,Australia,Pakistan,62 runs,Melbourne,"Feb 24, 1985",Pakistan
296,ODI # 312,England,India,86 runs,Sydney,"Feb 26, 1985",India
297,ODI # 313,Sri Lanka,West Indies,8 wickets,Melbourne,"Feb 27, 1985",West Indies
298,ODI # 314,England,Pakistan,67 runs,Melbourne,"Mar 2, 1985",Pakistan
299,ODI # 315,Australia,India,8 wickets,Melbourne,"Mar 3, 1985",India
300,ODI # 316,India,New Zealand,7 wickets,Sydney,"Mar 5, 1985",India
301,ODI # 317,Pakistan,West Indies,7 wickets,Melbourne,"Mar 6, 1985",Pakistan
302,ODI # 318,New Zealand,West Indies,6 wickets,Sydney,"Mar 9, 1985",West Indies
303,ODI # 319,India,Pakistan,8 wickets,Melbourne,"Mar 10, 1985",India
304,ODI # 320,West Indies,New Zealand,23 runs,St John's,"Mar 20, 1985",West Indies
305,ODI # 321,India,Pakistan,38 runs,Sharjah,"Mar 22, 1985",India
306,ODI # 322,Australia,England,2 wickets,Sharjah,"Mar 24, 1985",Australia
307,ODI # 323,England,Pakistan,43 runs,Sharjah,"Mar 26, 1985",Pakistan
308,ODI # 324,West Indies,New Zealand,6 wickets,Port of Spain,"Mar 27, 1985",West Indies
309,ODI # 325,Australia,India,3 wickets,Sharjah,"Mar 29, 1985",India
310,ODI # 326,West Indies,New Zealand,130 runs,Albion,"Apr 14, 1985",West Indies
311,ODI # 327,West Indies,New Zealand,10 wickets,Port of Spain,"Apr 17, 1985",West Indies
312,ODI # 328,West Indies,New Zealand,112 runs,Bridgetown,"Apr 23, 1985",West Indies
313,ODI # 329,England,Australia,3 wickets,Manchester,"May 30, 1985",Australia
